filename,title,album,artist,genre,tracknumber,comment
001.mp3,001 AlFatiha,Tilawah-Farres Abbad,Farres Abbad,Tilawah,1,AlFatiha recitation by Farres Abbad
002.mp3,002 AlBaqara,Tilawah-Farres Abbad,Farres Abbad,Tilawah,2,AlBaqara recitation by Farres Abbad
003.mp3,003 AalEImran,Tilawah-Farres Abbad,Farres Abbad,Tilawah,3,AalEImran recitation by Farres Abbad
004.mp3,004 AnNisa,Tilawah-Farres Abbad,Farres Abbad,Tilawah,4,AnNisa recitation by Farres Abbad
005.mp3,005 AlMaidah,Tilawah-Farres Abbad,Farres Abbad,Tilawah,5,AlMaidah recitation by Farres Abbad
006.mp3,006 AlAnaam,Tilawah-Farres Abbad,Farres Abbad,Tilawah,6,AlAnaam recitation by Farres Abbad
007.mp3,007 AlAraf,Tilawah-Farres Abbad,Farres Abbad,Tilawah,7,AlAraf recitation by Farres Abbad
008.mp3,008 AlAnfal,Tilawah-Farres Abbad,Farres Abbad,Tilawah,8,AlAnfal recitation by Farres Abbad
009.mp3,009 AtTawba,Tilawah-Farres Abbad,Farres Abbad,Tilawah,9,AtTawba recitation by Farres Abbad
010.mp3,010 Yunus,Tilawah-Farres Abbad,Farres Abbad,Tilawah,10,Yunus recitation by Farres Abbad
011.mp3,011 Hud,Tilawah-Farres Abbad,Farres Abbad,Tilawah,11,Hud recitation by Farres Abbad
012.mp3,012 Yusuf,Tilawah-Farres Abbad,Farres Abbad,Tilawah,12,Yusuf recitation by Farres Abbad
013.mp3,013 ArRad,Tilawah-Farres Abbad,Farres Abbad,Tilawah,13,ArRad recitation by Farres Abbad
014.mp3,014 Ibrahim,Tilawah-Farres Abbad,Farres Abbad,Tilawah,14,Ibrahim recitation by Farres Abbad
015.mp3,015 AlHijr,Tilawah-Farres Abbad,Farres Abbad,Tilawah,15,AlHijr recitation by Farres Abbad
016.mp3,016 AnNahl,Tilawah-Farres Abbad,Farres Abbad,Tilawah,16,AnNahl recitation by Farres Abbad
017.mp3,017 AlIsra,Tilawah-Farres Abbad,Farres Abbad,Tilawah,17,AlIsra recitation by Farres Abbad
018.mp3,018 AlKahf,Tilawah-Farres Abbad,Farres Abbad,Tilawah,18,AlKahf recitation by Farres Abbad
019.mp3,019 Maryam,Tilawah-Farres Abbad,Farres Abbad,Tilawah,19,Maryam recitation by Farres Abbad
020.mp3,020 TaHa,Tilawah-Farres Abbad,Farres Abbad,Tilawah,20,TaHa recitation by Farres Abbad
021.mp3,021 AlAnbiya,Tilawah-Farres Abbad,Farres Abbad,Tilawah,21,AlAnbiya recitation by Farres Abbad
022.mp3,022 AlHajj,Tilawah-Farres Abbad,Farres Abbad,Tilawah,22,AlHajj recitation by Farres Abbad
023.mp3,023 AlMumenoon,Tilawah-Farres Abbad,Farres Abbad,Tilawah,23,AlMumenoon recitation by Farres Abbad
024.mp3,024 AnNoor,Tilawah-Farres Abbad,Farres Abbad,Tilawah,24,AnNoor recitation by Farres Abbad
025.mp3,025 AlFurqan,Tilawah-Farres Abbad,Farres Abbad,Tilawah,25,AlFurqan recitation by Farres Abbad
026.mp3,026 AshShuara,Tilawah-Farres Abbad,Farres Abbad,Tilawah,26,AshShuara recitation by Farres Abbad
027.mp3,027 AnNaml,Tilawah-Farres Abbad,Farres Abbad,Tilawah,27,AnNaml recitation by Farres Abbad
028.mp3,028 AlQasas,Tilawah-Farres Abbad,Farres Abbad,Tilawah,28,AlQasas recitation by Farres Abbad
029.mp3,029 AlAnkaboot,Tilawah-Farres Abbad,Farres Abbad,Tilawah,29,AlAnkaboot recitation by Farres Abbad
030.mp3,030 ArRoom,Tilawah-Farres Abbad,Farres Abbad,Tilawah,30,ArRoom recitation by Farres Abbad
031.mp3,031 Luqman,Tilawah-Farres Abbad,Farres Abbad,Tilawah,31,Luqman recitation by Farres Abbad
032.mp3,032 AsSajda,Tilawah-Farres Abbad,Farres Abbad,Tilawah,32,AsSajda recitation by Farres Abbad
033.mp3,033 AlAhzab,Tilawah-Farres Abbad,Farres Abbad,Tilawah,33,AlAhzab recitation by Farres Abbad
034.mp3,034 Saba,Tilawah-Farres Abbad,Farres Abbad,Tilawah,34,Saba recitation by Farres Abbad
035.mp3,035 Fatir,Tilawah-Farres Abbad,Farres Abbad,Tilawah,35,Fatir recitation by Farres Abbad
036.mp3,036 YaSeen,Tilawah-Farres Abbad,Farres Abbad,Tilawah,36,YaSeen recitation by Farres Abbad
037.mp3,037 AsSaaffat,Tilawah-Farres Abbad,Farres Abbad,Tilawah,37,AsSaaffat recitation by Farres Abbad
038.mp3,038 Sad,Tilawah-Farres Abbad,Farres Abbad,Tilawah,38,Sad recitation by Farres Abbad
039.mp3,039 AzZumar,Tilawah-Farres Abbad,Farres Abbad,Tilawah,39,AzZumar recitation by Farres Abbad
040.mp3,040 Ghafir,Tilawah-Farres Abbad,Farres Abbad,Tilawah,40,Ghafir recitation by Farres Abbad
041.mp3,041 Fussilat,Tilawah-Farres Abbad,Farres Abbad,Tilawah,41,Fussilat recitation by Farres Abbad
042.mp3,042 AshShura,Tilawah-Farres Abbad,Farres Abbad,Tilawah,42,AshShura recitation by Farres Abbad
043.mp3,043 AzZukhruf,Tilawah-Farres Abbad,Farres Abbad,Tilawah,43,AzZukhruf recitation by Farres Abbad
044.mp3,044 AdDukhan,Tilawah-Farres Abbad,Farres Abbad,Tilawah,44,AdDukhan recitation by Farres Abbad
045.mp3,045 AlJathiya,Tilawah-Farres Abbad,Farres Abbad,Tilawah,45,AlJathiya recitation by Farres Abbad
046.mp3,046 AlAhqaf,Tilawah-Farres Abbad,Farres Abbad,Tilawah,46,AlAhqaf recitation by Farres Abbad
047.mp3,047 Muhammad,Tilawah-Farres Abbad,Farres Abbad,Tilawah,47,Muhammad recitation by Farres Abbad
048.mp3,048 AlFath,Tilawah-Farres Abbad,Farres Abbad,Tilawah,48,AlFath recitation by Farres Abbad
049.mp3,049 AlHujraat,Tilawah-Farres Abbad,Farres Abbad,Tilawah,49,AlHujraat recitation by Farres Abbad
050.mp3,050 Qaf,Tilawah-Farres Abbad,Farres Abbad,Tilawah,50,Qaf recitation by Farres Abbad
051.mp3,051 AdhDhariyat,Tilawah-Farres Abbad,Farres Abbad,Tilawah,51,AdhDhariyat recitation by Farres Abbad
052.mp3,052 AtTur,Tilawah-Farres Abbad,Farres Abbad,Tilawah,52,AtTur recitation by Farres Abbad
053.mp3,053 AnNajm,Tilawah-Farres Abbad,Farres Abbad,Tilawah,53,AnNajm recitation by Farres Abbad
054.mp3,054 AlQamar,Tilawah-Farres Abbad,Farres Abbad,Tilawah,54,AlQamar recitation by Farres Abbad
055.mp3,055 ArRahman,Tilawah-Farres Abbad,Farres Abbad,Tilawah,55,ArRahman recitation by Farres Abbad
056.mp3,056 AlWaqia,Tilawah-Farres Abbad,Farres Abbad,Tilawah,56,AlWaqia recitation by Farres Abbad
057.mp3,057 AlHadid,Tilawah-Farres Abbad,Farres Abbad,Tilawah,57,AlHadid recitation by Farres Abbad
058.mp3,058 AlMujadila,Tilawah-Farres Abbad,Farres Abbad,Tilawah,58,AlMujadila recitation by Farres Abbad
059.mp3,059 AlHashr,Tilawah-Farres Abbad,Farres Abbad,Tilawah,59,AlHashr recitation by Farres Abbad
060.mp3,060 AlMumtahina,Tilawah-Farres Abbad,Farres Abbad,Tilawah,60,AlMumtahina recitation by Farres Abbad
061.mp3,061 AsSaff,Tilawah-Farres Abbad,Farres Abbad,Tilawah,61,AsSaff recitation by Farres Abbad
062.mp3,062 AlJumua,Tilawah-Farres Abbad,Farres Abbad,Tilawah,62,AlJumua recitation by Farres Abbad
063.mp3,063 AlMunafiqoon,Tilawah-Farres Abbad,Farres Abbad,Tilawah,63,AlMunafiqoon recitation by Farres Abbad
064.mp3,064 AtTaghabun,Tilawah-Farres Abbad,Farres Abbad,Tilawah,64,AtTaghabun recitation by Farres Abbad
065.mp3,065 AtTalaq,Tilawah-Farres Abbad,Farres Abbad,Tilawah,65,AtTalaq recitation by Farres Abbad
066.mp3,066 AtTahrim,Tilawah-Farres Abbad,Farres Abbad,Tilawah,66,AtTahrim recitation by Farres Abbad
067.mp3,067 AlMulk,Tilawah-Farres Abbad,Farres Abbad,Tilawah,67,AlMulk recitation by Farres Abbad
068.mp3,068 AlQalam,Tilawah-Farres Abbad,Farres Abbad,Tilawah,68,AlQalam recitation by Farres Abbad
069.mp3,069 AlHaaqqa,Tilawah-Farres Abbad,Farres Abbad,Tilawah,69,AlHaaqqa recitation by Farres Abbad
070.mp3,070 AlMaarij,Tilawah-Farres Abbad,Farres Abbad,Tilawah,70,AlMaarij recitation by Farres Abbad
071.mp3,071 Nooh,Tilawah-Farres Abbad,Farres Abbad,Tilawah,71,Nooh recitation by Farres Abbad
072.mp3,072 AlJinn,Tilawah-Farres Abbad,Farres Abbad,Tilawah,72,AlJinn recitation by Farres Abbad
073.mp3,073 AlMuzzammil,Tilawah-Farres Abbad,Farres Abbad,Tilawah,73,AlMuzzammil recitation by Farres Abbad
074.mp3,074 AlMuddaththir,Tilawah-Farres Abbad,Farres Abbad,Tilawah,74,AlMuddaththir recitation by Farres Abbad
075.mp3,075 AlQiyama,Tilawah-Farres Abbad,Farres Abbad,Tilawah,75,AlQiyama recitation by Farres Abbad
076.mp3,076 AlInsan,Tilawah-Farres Abbad,Farres Abbad,Tilawah,76,AlInsan recitation by Farres Abbad
077.mp3,077 AlMursalat,Tilawah-Farres Abbad,Farres Abbad,Tilawah,77,AlMursalat recitation by Farres Abbad
078.mp3,078 AnNaba,Tilawah-Farres Abbad,Farres Abbad,Tilawah,78,AnNaba recitation by Farres Abbad
079.mp3,079 AnNaziat,Tilawah-Farres Abbad,Farres Abbad,Tilawah,79,AnNaziat recitation by Farres Abbad
080.mp3,080 Abasa,Tilawah-Farres Abbad,Farres Abbad,Tilawah,80,Abasa recitation by Farres Abbad
081.mp3,081 AtTakwir,Tilawah-Farres Abbad,Farres Abbad,Tilawah,81,AtTakwir recitation by Farres Abbad
082.mp3,082 AlInfitar,Tilawah-Farres Abbad,Farres Abbad,Tilawah,82,AlInfitar recitation by Farres Abbad
083.mp3,083 AlMutaffifin,Tilawah-Farres Abbad,Farres Abbad,Tilawah,83,AlMutaffifin recitation by Farres Abbad
084.mp3,084 AlInshiqaq,Tilawah-Farres Abbad,Farres Abbad,Tilawah,84,AlInshiqaq recitation by Farres Abbad
085.mp3,085 AlBurooj,Tilawah-Farres Abbad,Farres Abbad,Tilawah,85,AlBurooj recitation by Farres Abbad
086.mp3,086 AtTariq,Tilawah-Farres Abbad,Farres Abbad,Tilawah,86,AtTariq recitation by Farres Abbad
087.mp3,087 AlAla,Tilawah-Farres Abbad,Farres Abbad,Tilawah,87,AlAla recitation by Farres Abbad
088.mp3,088 AlGhashiya,Tilawah-Farres Abbad,Farres Abbad,Tilawah,88,AlGhashiya recitation by Farres Abbad
089.mp3,089 AlFajr,Tilawah-Farres Abbad,Farres Abbad,Tilawah,89,AlFajr recitation by Farres Abbad
090.mp3,090 AlBalad,Tilawah-Farres Abbad,Farres Abbad,Tilawah,90,AlBalad recitation by Farres Abbad
091.mp3,091 AshShams,Tilawah-Farres Abbad,Farres Abbad,Tilawah,91,AshShams recitation by Farres Abbad
092.mp3,092 AlLail,Tilawah-Farres Abbad,Farres Abbad,Tilawah,92,AlLail recitation by Farres Abbad
093.mp3,093 AdDhuha,Tilawah-Farres Abbad,Farres Abbad,Tilawah,93,AdDhuha recitation by Farres Abbad
094.mp3,094 AlInshirah,Tilawah-Farres Abbad,Farres Abbad,Tilawah,94,AlInshirah recitation by Farres Abbad
095.mp3,095 AtTin,Tilawah-Farres Abbad,Farres Abbad,Tilawah,95,AtTin recitation by Farres Abbad
096.mp3,096 AlAlaq,Tilawah-Farres Abbad,Farres Abbad,Tilawah,96,AlAlaq recitation by Farres Abbad
097.mp3,097 AlQadr,Tilawah-Farres Abbad,Farres Abbad,Tilawah,97,AlQadr recitation by Farres Abbad
098.mp3,098 AlBayyina,Tilawah-Farres Abbad,Farres Abbad,Tilawah,98,AlBayyina recitation by Farres Abbad
099.mp3,099 AzZalzala,Tilawah-Farres Abbad,Farres Abbad,Tilawah,99,AzZalzala recitation by Farres Abbad
100.mp3,100 AlAdiyat,Tilawah-Farres Abbad,Farres Abbad,Tilawah,100,AlAdiyat recitation by Farres Abbad
101.mp3,101 AlQaria,Tilawah-Farres Abbad,Farres Abbad,Tilawah,101,AlQaria recitation by Farres Abbad
102.mp3,102 AtTakathur,Tilawah-Farres Abbad,Farres Abbad,Tilawah,102,AtTakathur recitation by Farres Abbad
103.mp3,103 AlAsr,Tilawah-Farres Abbad,Farres Abbad,Tilawah,103,AlAsr recitation by Farres Abbad
104.mp3,104 AlHumaza,Tilawah-Farres Abbad,Farres Abbad,Tilawah,104,AlHumaza recitation by Farres Abbad
105.mp3,105 AlFil,Tilawah-Farres Abbad,Farres Abbad,Tilawah,105,AlFil recitation by Farres Abbad
106.mp3,106 Quraish,Tilawah-Farres Abbad,Farres Abbad,Tilawah,106,Quraish recitation by Farres Abbad
107.mp3,107 AlMaun,Tilawah-Farres Abbad,Farres Abbad,Tilawah,107,AlMaun recitation by Farres Abbad
108.mp3,108 AlKauther,Tilawah-Farres Abbad,Farres Abbad,Tilawah,108,AlKauther recitation by Farres Abbad
109.mp3,109 AlKafiroon,Tilawah-Farres Abbad,Farres Abbad,Tilawah,109,AlKafiroon recitation by Farres Abbad
110.mp3,110 AnNasr,Tilawah-Farres Abbad,Farres Abbad,Tilawah,110,AnNasr recitation by Farres Abbad
111.mp3,111 AlMasadd,Tilawah-Farres Abbad,Farres Abbad,Tilawah,111,AlMasadd recitation by Farres Abbad
112.mp3,112 AlIkhlas,Tilawah-Farres Abbad,Farres Abbad,Tilawah,112,AlIkhlas recitation by Farres Abbad
113.mp3,113 AlFalaq,Tilawah-Farres Abbad,Farres Abbad,Tilawah,113,AlFalaq recitation by Farres Abbad
114.mp3,114 AnNas,Tilawah-Farres Abbad,Farres Abbad,Tilawah,114,AnNas recitation by Farres Abbad